geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1001,-23.549951273933896,-46.63402699777831
1002,-23.54822752192854,-46.63524674639332
1003,-23.54897652899767,-46.63531311226845
1004,-23.549550003606676,-46.634770582289825
1005,-23.54976291539134,-46.63610028661863
1006,-23.550317224536894,-46.63622549584506
1007,-23.55034858312654,-46.63734214071785
1008,-23.545450466558925,-46.6356105
1009,-23.546340513734236,-46.63623850320264
1010,-23.54668551681114,-46.635460184341156
1011,-23.546690486964888,-46.6354469588072
1012,-23.54774227061568,-46.63482872807575
1013,-23.5473165,-46.63422166665711
1014,-23.546245945322863,-46.63353151540766
1015,-23.54797349999999,-46.63253304968545
1016,-23.549283671100515,-46.631921331563774
1017,-23.549611657914532,-46.63116636914989
1018,-23.55158623535693,-46.63270720967747
1019,-23.55166351540767,-46.63093168887411
1020,-23.55242950555425,-46.62934072446477
1021,-23.542808668330554,-46.63213975243804
1022,-23.54449190383172,-46.63218004371285
1023,-23.542318875382307,-46.6313376895666
1024,-23.541389521053937,-46.62989908781218
1025,-23.540428325970968,-46.63152530492911
1026,-23.539439503750906,-46.632953890394745
1027,-23.537980703156606,-46.63039892042236
1028,-23.53624171663104,-46.6320595335853
1029,-23.540724476686478,-46.6328817760257
1030,-23.53967007799065,-46.63297206480466
1031,-23.542371579262422,-46.6351406195225
1032,-23.540623983625707,-46.63514797691531
1033,-23.540035348866123,-46.63590402178432
1034,-23.542391769885107,-46.63731110117427
1035,-23.541577961711493,-46.64160722329613
1036,-23.541700023861782,-46.64131782056096
1037,-23.54562128115268,-46.63929204800168
1038,-23.544139809596672,-46.64041077352986
1039,-23.54122001692255,-46.63902859499964
1040,-23.540876706359263,-46.6382183104334
1041,-23.5441348642738,-46.63972725360668
1042,-23.54487359810152,-46.64038040172743
1043,-23.545650980855747,-46.641465617274434
1044,-23.54562699916329,-46.64140988467314
1045,-23.542482773295564,-46.64280268887412
1046,-23.54574166250217,-46.64319919124003
1047,-23.545939300724203,-46.64075423063939
1048,-23.547052131282804,-46.639477959749584
1049,-23.547765310577624,-46.64024304302038
1050,-23.54896235221301,-46.643139396906825
1101,-23.526091267557256,-46.63137211754856
1102,-23.527305177909845,-46.630607202464105
1103,-23.535398519980966,-46.62855836594724
1104,-23.53500886427381,-46.62963536441802
1105,-23.53427140341335,-46.62972092651232
1106,-23.531046789341573,-46.62865354731952
1107,-23.528019075076458,-46.62672326429683
1108,-23.52756187663738,-46.629436653975944
1109,-23.52450999194992,-46.62704378864908
1120,-23.529249319868455,-46.63998204641071
1121,-23.527241874271446,-46.63550866097296
1122,-23.531219067718872,-46.63968832737029
1123,-23.52934877491485,-46.636433659587965
1124,-23.528446563708158,-46.633341237030365
1125,-23.52628837691152,-46.6404078985516
1126,-23.526854512767606,-46.6396065
1127,-23.52611912738766,-46.64098602997861
1128,-23.523913005554256,-46.64121853587705
1129,-23.523833153341236,-46.64263306216462
1130,-23.52352437163139,-46.64454366771019
1131,-23.522877997201377,-46.64468748237063
1132,-23.521679512767612,-46.648649823619365
1133,-23.51965249624909,-46.65454102553522
1134,-23.5191350111085,-46.651386363855444
1135,-23.52677153944895,-46.65202107799064
1136,-23.524322863123952,-46.66345692652486
1137,-23.523137474897457,-46.65413409824576
1138,-23.521969509016706,-46.65541993450284
1139,-23.52061764308379,-46.664233546745976
1140,-23.51869033443941,-46.66919713321603
1141,-23.521739474464773,-46.666570822710526
1142,-23.51993430515264,-46.6251300217966
1144,-23.52375674639551,-46.67206201387848
1150,-23.532361276299834,-46.658279242296146
1151,-23.531294001384985,-46.65697953032487
1152,-23.53019187857062,-46.6558970291419
1153,-23.531845798776637,-46.65214960338163
1154,-23.53074632139766,-46.659421708018364
1155,-23.5297665,-46.6629850217843
1156,-23.52994970053087,-46.66461041701768
1189,-23.53210825506378,-46.63839470107914
1200,-23.531567773241413,-46.64986907784642
1201,-23.53560101970684,-46.64974682292688
1202,-23.53250959838998,-46.64916678934157
1203,-23.534499908130886,-46.64642004509782
1204,-23.538003498228328,-46.6426298049806
1205,-23.534459286989968,-46.64401134944305
1206,-23.536609489728185,-46.64244480598998
1207,-23.539369243407013,-46.638486209821714
1208,-23.53836432361936,-46.638626940879455
1209,-23.54069975090345,-46.641743196015355
1210,-23.53997818428648,-46.64242852914191
1211,-23.537602755063777,-46.64895440383171
1212,-23.5374331015783,-46.639705500000005
1213,-23.536674628916863,-46.64054782737028
1214,-23.539089174303164,-46.64595381895961
1215,-23.536198100467452,-46.64808511296093
1216,-23.53269464807544,-46.64647672446477
1217,-23.53244310546075,-46.64927010642174
1218,-23.53041781571351,-46.648655517629365
1219,-23.541589587151577,-46.64533737490615
1220,-23.54447196058631,-46.64647349999999
1221,-23.5448069245411,-46.64862050291418
1222,-23.545494233858072,-46.65018175916093
1223,-23.54386352207278,-46.6485429970858
1224,-23.54167247821568,-46.65236222925442
1225,-23.539683583126543,-46.649154719401
1226,-23.538546419095155,-46.65306456994057
1227,-23.55032645490217,-46.65992584456696
1228,-23.550191570633054,-46.65993018096825
1229,-23.53911697626811,-46.65670692936692
1230,-23.53678982653355,-46.65780402331353
1231,-23.537368424923542,-46.65965714578164
1232,-23.53651535276127,-46.65920567692889
1233,-23.535170371083133,-46.66153616264639
1234,-23.539309261605023,-46.664259499365286
1235,-23.537706642247063,-46.66479390714994
1236,-23.544444562857105,-46.6673910215823
1237,-23.54343710740668,-46.66857970266179
1238,-23.542944348058064,-46.65347143450284
1239,-23.54733835540133,-46.65572302706443
1240,-23.54326883042869,-46.65985692991519
1241,-23.54561360866176,-46.6571419730798
1242,-23.546217583126545,-46.65880336372555
1243,-23.54831798779497,-46.659449085204
1244,-23.55027193117028,-46.66073891106945
1245,-23.55018598312412,-46.6640199088955
1246,-23.553326943937883,-46.6664048798257
1247,-23.550644849847075,-46.66920043865777
1248,-23.547336999163274,-46.66827995031453
1249,-23.5493991829015,-46.67167606189049
1250,-23.547925314602658,-46.67221266180968
1251,-23.54854300970919,-46.67508171003804
1252,-23.54173205190716,-46.68037022384439
1253,-23.544687097350565,-46.67914691801201
1254,-23.54336992700101,-46.681446058572256
1255,-23.546528162357937,-46.68140007144644
1256,-23.548154323330905,-46.683293049685474
1257,-23.54375820483005,-46.687539331669456
1258,-23.544237158621364,-46.68650177409245
1259,-23.54144799249818,-46.685696733625704
1262,-23.550856391462712,-46.67735184892536
1290,-23.54096134139296,-46.657748702752585
1301,-23.548813250072115,-46.651481326879804
1302,-23.54928715417796,-46.65310025548213
1303,-23.549143871775623,-46.64896199945174
1304,-23.55409477837729,-46.656003407510504
1305,-23.55224471218764,-46.653019763806334
1306,-23.55357363252355,-46.649316169715526
1307,-23.55237625506378,-46.65295348863168
1308,-23.556208432685164,-46.65324841993188
1309,-23.55461847988913,-46.658488877459774
1310,-23.560629789889838,-46.65726094364944
1311,-23.56546074577294,-46.65160504854359
1312,-23.556049111529205,-46.64974666729382
1313,-23.556809775751567,-46.650683697636765
1314,-23.55262252400601,-46.64653223550115
1315,-23.5535985,-46.640620058283815
1316,-23.55298158090484,-46.63971174249818
1317,-23.55944012378097,-46.64226368699865
1318,-23.564597574239738,-46.646856093592774
1319,-23.551959279214017,-46.64163106549717
1320,-23.55796144157196,-46.63944674770617
1321,-23.561045916180966,-46.64208740896759
1322,-23.563202542327883,-46.64356963725542
1323,-23.56360092810872,-46.64129065751052
1324,-23.5563983119626,-46.64328123411617
1325,-23.55674089869582,-46.64449217485143
1326,-23.556491151263778,-46.645284391280455
1327,-23.565645,-46.64497597446477
1328,-23.55572139439665,-46.64730274132955
1329,-23.561601202608344,-46.647150715794304
1330,-23.55891445628714,-46.64968040175425
1331,-23.562336279762278,-46.65045114931619
1332,-23.560077368443068,-46.65278620573888
1333,-23.566257450458764,-46.64680601276761
1401,-23.57538559651848,-46.65718691736133
1402,-23.580463023861785,-46.66390862115525
1403,-23.569223343052077,-46.653812740839065
1404,-23.5690055409429,-46.65618934096027
1405,-23.565713039961945,-46.65577318166076
1406,-23.576769504010706,-46.67127423564538
1407,-23.577202445467098,-46.67263107799064
1408,-23.56736351872589,-46.66138347114656
1409,-23.56327231112588,-46.65957123411617
