product_category,reviewed_orders,average_review_score,negative_review_rate
fashion_male_clothing,110,3.73,25.45
office_furniture,1248,3.63,22.28
audio,341,3.85,21.41
construction_tools_safety,159,3.87,19.5
fixed_telephony,212,3.89,18.87
unknown,1379,3.96,18.56
fashion_underwear_beach,120,3.93,18.33
home_confort,345,3.95,17.39
air_conditioning,247,4.04,16.19
bed_bath_table,9111,3.99,16.17
computers_accessories,6597,4.03,15.86
furniture_decor,6194,4.04,15.79
telephony,4141,4.01,15.26
baby,2769,4.07,15.06
watches_gifts,5537,4.07,14.95
art,194,4.06,14.95
agro_industry_and_commerce,182,4.02,14.84
home_construction,461,4.08,14.53
auto,3841,4.1,14.06
construction_tools_construction,726,4.1,14.05
consoles_games,1044,4.08,13.98
electronics,2508,4.1,13.84
furniture_living_room,401,4.07,13.72
small_appliances,618,4.19,13.43
perfumery,3122,4.21,13.07
home_appliances_2,231,4.14,12.99
kitchen_dining_laundry_garden_furniture,240,4.06,12.92
musical_instruments,614,4.19,12.87
christmas_supplies,125,4.05,12.8
sports_leisure,7597,4.18,12.72
costruction_tools_garden,182,4.24,12.64
garden_tools,3424,4.17,12.62
housewares,5728,4.16,12.62
health_beauty,8699,4.19,12.46
computers,177,4.19,12.43
market_place,266,4.08,12.41
toys,3802,4.2,12.36
home_appliances,761,4.16,12.22
fashion_shoes,234,4.23,11.97
drinks,288,4.17,11.81
cool_stuff,3532,4.2,11.75
food,437,4.28,11.44
fashion_bags_accessories,1835,4.19,11.39
pet_shop,1686,4.25,11.21
stationery,2262,4.26,11.05
signaling_and_security,137,4.13,10.95
industry_commerce_and_business,229,4.22,10.48
books_technical,253,4.42,9.49
construction_tools_lights,223,4.2,9.42
luggage_accessories,1015,4.34,8.87
books_general_interest,503,4.47,8.15
food_drink,222,4.38,5.86
