customer_state,delivered_orders,average_delivery_days,late_delivery_rate
RR,41,29.34,12.2
AP,67,27.18,4.48
AM,145,26.36,4.14
AL,397,24.5,23.93
PA,946,23.73,12.37
MA,717,21.51,19.67
SE,335,21.46,15.22
CE,1279,21.2,15.32
AC,80,21.0,3.75
PB,517,20.39,11.03
PI,476,19.4,15.97
BA,3256,19.28,14.04
RO,243,19.28,2.88
RN,474,19.22,10.76
PE,1593,18.4,10.8
MT,886,18.0,6.77
TO,274,17.6,12.77
ES,1995,15.72,12.23
GO,1957,15.54,8.18
MS,701,15.54,11.55
RS,5344,15.25,7.15
RJ,12350,15.24,13.47
SC,3546,14.9,9.76
DF,2080,12.9,7.07
MG,11354,11.95,5.61
PR,4923,11.94,5.0
SP,40494,8.7,5.89
